THEATRE: FESTIVE WALK CGV | STUDIO: 100301 | HARD COLLISION: {'8x18': 6, '11x27': 1}
THEATRE: BEKASI CYBER PARK CGV | STUDIO: 100501 | HARD COLLISION: {'9x20': 6, '10x19': 1}
THEATRE: FESTIVE WALK CGV | STUDIO: 100201 | HARD COLLISION: {'11x27': 6, '13x29': 1}
THEATRE: GRAGE CITY MALL CGV | STUDIO: 100101 | HARD COLLISION: {'13x29': 6, '9x19': 1}
THEATRE: BEKASI CYBER PARK CGV | STUDIO: 100601 | HARD COLLISION: {'9x21': 6, '11x19': 1}
THEATRE: FESTIVE WALK CGV | STUDIO: 100701 | HARD COLLISION: {'13x27': 6, '8x18': 1}
THEATRE: BEKASI CYBER PARK CGV | STUDIO: 100401 | HARD COLLISION: {'9x20': 6, '9x21': 1}
THEATRE: DEPOK MALL CGV | STUDIO: 100701 | HARD COLLISION: {'10x20': 6, '10x22': 1}
THEATRE: KINGS SHOPPING CENTER CGV | STUDIO: 100201 | HARD COLLISION: {'8x16': 6, '9x16': 1}
THEATRE: GRAND INDONESIA CGV | STUDIO: 101512 | HARD COLLISION: {'13x20': 6, '6x17': 1}
THEATRE: TRANSMART CIREBON CGV | STUDIO: 100301 | HARD COLLISION: {'10x17': 6, '10x18': 1}
THEATRE: GRAND INDONESIA CGV | STUDIO: 100304 | HARD COLLISION: {'8x14': 6, '6x17': 1}
THEATRE: GREEN PRAMUKA MALL CGV | STUDIO: 100301 | HARD COLLISION: {'12x18': 6, '9x16': 1}
THEATRE: BELLA TERRA LIFESTYLE CENTER CGV | STUDIO: 100401 | HARD COLLISION: {'8x19': 6, '8x18': 1}
THEATRE: BELLA TERRA LIFESTYLE CENTER CGV | STUDIO: 100301 | HARD COLLISION: {'8x18': 6, '8x19': 1}
THEATRE: AEON MALL JGC CGV | STUDIO: 100301 | HARD COLLISION: {'8x18': 6, '9x21': 1}
THEATRE: TERAS KOTA CGV | STUDIO: 100801 | HARD COLLISION: {'10x20': 6, '8x20': 1}
THEATRE: TRANSMART CEMPAKA PUTIH CGV | STUDIO: 100414 | HARD COLLISION: {'6x14': 6, '10x17': 1}
THEATRE: TRANSMART MAGUWO CGV | STUDIO: 100101 | HARD COLLISION: {'12x22': 6, '9x17': 1}
THEATRE: ECOPLAZA CITRARAYA CIKUPA CGV | STUDIO: 100401 | HARD COLLISION: {'9x21': 6, '10x20': 1}
THEATRE: GRAND BATAVIA CGV | STUDIO: 100101 | HARD COLLISION: {'11x16': 1, '11x17': 6}
THEATRE: ECOPLAZA CITRARAYA CIKUPA CGV | STUDIO: 100801 | HARD COLLISION: {'15x37': 6, '10x20': 1}
THEATRE: ROXY SQUARE JEMBER CGV | STUDIO: 100601 | HARD COLLISION: {'9x20': 1, '8x18': 6}
THEATRE: RITA SUPERMALL CGV | STUDIO: 100201 | HARD COLLISION: {'11x22': 6, '11x20': 1}
THEATRE: PLAZA LAWU MADIUN CGV | STUDIO: 100301 | HARD COLLISION: {'10x18': 1, '9x16': 6}
THEATRE: ROXY SQUARE JEMBER CGV | STUDIO: 100501 | HARD COLLISION: {'10x22': 6, '9x20': 1}
THEATRE: PLAZA LAWU MADIUN CGV | STUDIO: 100201 | HARD COLLISION: {'10x18': 6, '10x19': 1}
THEATRE: RITA SUPERMALL CGV | STUDIO: 100401 | HARD COLLISION: {'11x21': 1, '11x20': 6}
THEATRE: ROXY SQUARE JEMBER CGV | STUDIO: 100301 | HARD COLLISION: {'12x24': 1, '9x20': 6}
THEATRE: ROXY SQUARE JEMBER CGV | STUDIO: 100401 | HARD COLLISION: {'10x22': 1, '8x18': 6}
THEATRE: FOCAL POINT CGV | STUDIO: 100601 | HARD COLLISION: {'9x21': 6, '9x20': 1}
THEATRE: BLITAR SQUARE CGV | STUDIO: 100401 | HARD COLLISION: {'10x19': 1, '10x18': 6}
THEATRE: PLAZA LAWU MADIUN CGV | STUDIO: 100401 | HARD COLLISION: {'10x19': 6, '9x16': 1}
THEATRE: ROXY SQUARE JEMBER CGV | STUDIO: 100201 | HARD COLLISION: {'12x24': 6, '8x18': 1}
THEATRE: SOCIAL MARKET CGV | STUDIO: 100301 | HARD COLLISION: {'11x20': 6, '13x24': 1}
THEATRE: TRANSMART MATARAM CGV | STUDIO: 100501 | HARD COLLISION: {'8x11': 5, '10x18': 2}
THEATRE: TRANSMART PEKANBARU CGV | STUDIO: 100401 | HARD COLLISION: {'11x18': 2, '13x24': 5}
THEATRE: TRANSMART PALEMBANG CGV | STUDIO: 100501 | HARD COLLISION: {'14x19': 6, '14x22': 1}
THEATRE: STUDIO PEKANBARU CGV | STUDIO: 100201 | HARD COLLISION: {'16x23': 6, '16x22': 1}
THEATRE: LIVING PLAZA JABABEKA CGV | STUDIO: 100401 | HARD COLLISION: {'11x19': 1, '11x18': 6}
THEATRE: PARADISE WALK SERPONG CGV | STUDIO: 100601 | HARD COLLISION: {'10x14': 6, '8x14': 1}
THEATRE: MASPION SQUARE CGV | STUDIO: 100401 | HARD COLLISION: {'13x21': 6, '10x18': 1}
THEATRE: VIVO SENTUL CGV | STUDIO: 100101 | HARD COLLISION: {'9x22': 1, '11x24': 6}
THEATRE: LIPPO MALL KUTA CINEPOLIS | STUDIO: 12 | HARD COLLISION: {'9x13': 5, '9x15': 2}
THEATRE: LIPPO PLAZA KENDARI CINEPOLIS | STUDIO: 14 | HARD COLLISION: {'9x16': 6, '14x10': 1}
THEATRE: LIVING WORLD PEKANBARU CINEPOLIS | STUDIO: 48 | HARD COLLISION: {'4x8': 6, '15x27': 1}
THEATRE: LIPPO PLAZA SIDOARJO CINEPOLIS | STUDIO: 11 | HARD COLLISION: {'13x26': 4, '13x24': 3}
THEATRE: MALANG TOWN SQUARE CINEPOLIS | STUDIO: 13 | HARD COLLISION: {'9x9': 6, '7x9': 1}
THEATRE: THE PARK PEJATEN CINEPOLIS | STUDIO: 36 | HARD COLLISION: {'3x14': 6, '2x14': 1}
THEATRE: THE PARK PEJATEN CINEPOLIS | STUDIO: 12 | HARD COLLISION: {'6x24': 6, '9x24': 1}
THEATRE: MALL PHINISI POINT CINEPOLIS | STUDIO: 11 | HARD COLLISION: {'14x23': 6, '11x21': 1}
THEATRE: SENAYAN PARK CINEPOLIS | STUDIO: 11 | HARD COLLISION: {'12x36': 1, '12x48': 5, '2x20': 1}
THEATRE: GRAND MALL LAMPUNG CGV | STUDIO: 100201 | HARD COLLISION: {'9x17': 6, '10x11': 1}
